Date,Market Cap (USD),Number of Coins
7/28/2017,1744737877,1.03117E+11
7/29/2017,1784504404,1.03117E+11
7/30/2017,1651231197,1.03117E+11
7/31/2017,1673405814,1.03117E+11
8/1/2017,1843433552,1.03137E+11
8/2/2017,1913702313,1.03137E+11
8/3/2017,1944242943,1.03137E+11
8/4/2017,2299256143,1.03137E+11
8/5/2017,2477765515,1.03137E+11
8/6/2017,2365772333,1.03137E+11
8/7/2017,2300985387,1.03137E+11
8/8/2017,2441751778,1.03157E+11
8/9/2017,2379355117,1.03157E+11
8/10/2017,2284625331,1.03157E+11
8/11/2017,2218837037,1.03157E+11
8/12/2017,2092322896,1.03157E+11
8/13/2017,1872018285,1.03157E+11
8/14/2017,1831495053,1.03157E+11
8/15/2017,1788690259,1.03176E+11
8/16/2017,1814358060,1.03176E+11
8/17/2017,1782996799,1.03176E+11
8/18/2017,1739413472,1.03176E+11
8/19/2017,1699108629,1.03176E+11
8/20/2017,1828157956,1.03176E+11
8/21/2017,2049142121,1.03176E+11
8/22/2017,2227366650,1.03196E+11
8/23/2017,2108887285,1.03196E+11
8/24/2017,1951429967,1.03196E+11
8/25/2017,2100892092,1.03196E+11
8/26/2017,2192385619,1.03196E+11
8/27/2017,2032835104,1.03196E+11
8/28/2017,2122835924,1.03196E+11
8/29/2017,2077207570,1.03216E+11
8/30/2017,2198756827,1.03216E+11
8/31/2017,2324980777,1.03216E+11
9/1/2017,2481697117,1.03216E+11
9/2/2017,2158375882,1.03216E+11
9/3/2017,2219413740,1.03216E+11
9/4/2017,1886639682,1.03216E+11
9/5/2017,1958927515,1.03235E+11
9/6/2017,2120381139,1.03235E+11
9/7/2017,2098414901,1.03235E+11
9/8/2017,1905269875,1.03235E+11
9/9/2017,1851356989,1.03235E+11
9/10/2017,1735788184,1.03235E+11
9/11/2017,1795149742,1.03235E+11
9/12/2017,1694776461,1.03255E+11
9/13/2017,1598017524,1.03255E+11
9/14/2017,1185313868,1.03255E+11
9/15/2017,1255823695,1.03255E+11
9/16/2017,1233290331,1.03255E+11
9/17/2017,1176182435,1.03255E+11
9/18/2017,1397501232,1.03255E+11
9/19/2017,1219843118,1.03275E+11
9/20/2017,1264185721,1.03275E+11
9/21/2017,1090617561,1.03275E+11
9/22/2017,1118679020,1.03275E+11
9/23/2017,1227940636,1.03275E+11
9/24/2017,1197583047,1.03275E+11
9/25/2017,1243522268,1.03275E+11
9/26/2017,1278116966,1.03294E+11
9/27/2017,1497804762,1.03294E+11
9/28/2017,1430363240,1.03294E+11
9/29/2017,1361814831,1.03294E+11
9/30/2017,1425806256,1.03294E+11
10/1/2017,1412576338,1.03294E+11
10/2/2017,1326938966,1.03294E+11
10/3/2017,1285694612,1.03314E+11
10/4/2017,1218943382,1.03314E+11
10/5/2017,1494015533,1.03314E+11
10/6/2017,1898953510,1.03314E+11
10/7/2017,2154065944,1.03314E+11
10/8/2017,1913149890,1.03314E+11
10/9/2017,1798133464,1.03314E+11
10/10/2017,1905969869,1.03334E+11
10/11/2017,2009536663,1.03334E+11
10/12/2017,1836283954,1.03334E+11
10/13/2017,1851434197,1.03334E+11
10/14/2017,1829396445,1.03334E+11
10/15/2017,1938976258,1.03334E+11
10/16/2017,3767570714,1.03334E+11
10/17/2017,4729761203,1.03354E+11
10/18/2017,3614489274,1.03354E+11
10/19/2017,3230054976,1.03354E+11
10/20/2017,2714748685,1.03354E+11
10/21/2017,3843856095,1.03354E+11
10/22/2017,3222166712,1.03354E+11
10/23/2017,3590842397,1.03354E+11
10/24/2017,3801930107,1.03373E+11
10/25/2017,3631138526,1.03373E+11
10/26/2017,3573657440,1.03373E+11
10/27/2017,3537079388,1.03373E+11
10/28/2017,3213445456,1.03373E+11
10/29/2017,3097832657,1.03373E+11
10/30/2017,3280038376,1.03373E+11
10/31/2017,3021156473,1.03393E+11
11/1/2017,2837949370,1.03393E+11
11/2/2017,2834397141,1.03393E+11
11/3/2017,2871451237,1.03393E+11
11/4/2017,2813976970,1.03393E+11
11/5/2017,2758614449,1.03393E+11
11/6/2017,2975405641,1.03393E+11
11/7/2017,3191739301,1.03413E+11
11/8/2017,3529075447,1.03413E+11
11/9/2017,4161219496,1.03413E+11
11/10/2017,3431079054,1.03413E+11
11/11/2017,3413032135,1.03413E+11
11/12/2017,2922442063,1.03413E+11
11/13/2017,3152861584,1.03413E+11
11/14/2017,3750370040,1.03432E+11
11/15/2017,3839210500,1.03432E+11
11/16/2017,3861689252,1.03432E+11
11/17/2017,3680521728,1.03432E+11
11/18/2017,3759683907,1.03432E+11
11/19/2017,3769122199,1.03432E+11
11/20/2017,3964465457,1.03432E+11
11/21/2017,3898012015,1.03452E+11
11/22/2017,4362245351,1.03452E+11
11/23/2017,4264203825,1.03452E+11
11/24/2017,4161662875,1.03452E+11
11/25/2017,4533901346,1.03452E+11
11/26/2017,5032654799,1.03452E+11
11/27/2017,6153883618,1.03452E+11
11/28/2017,8119191688,1.03472E+11
11/29/2017,6858363715,1.03472E+11
11/30/2017,7468182490,1.03472E+11
12/1/2017,9227061049,1.03472E+11
12/2/2017,9742814833,1.03472E+11
12/3/2017,9335666092,1.03472E+11
12/4/2017,9961675852,1.03472E+11
12/5/2017,12726981730,1.03492E+11
12/6/2017,14888423801,1.03492E+11
12/7/2017,14049076637,1.03492E+11
12/8/2017,14319749546,1.03492E+11
12/9/2017,13985048092,1.03492E+11
12/10/2017,12013122911,1.03492E+11
12/11/2017,14828347758,1.03492E+11
12/12/2017,16488318955,1.03511E+11
12/13/2017,15512475052,1.03511E+11
12/14/2017,19081769237,1.03511E+11
12/15/2017,20544681705,1.03511E+11
12/16/2017,24603153330,1.03511E+11
12/17/2017,27581190582,1.03511E+11
12/18/2017,28560666172,1.03511E+11
12/19/2017,27235133512,1.03531E+11
12/20/2017,26009353258,1.03531E+11
12/21/2017,26320988586,1.03531E+11
12/22/2017,23241198319,1.03531E+11
12/23/2017,24932395495,1.03531E+11
12/24/2017,23187146756,1.03531E+11
12/25/2017,23577575658,1.03531E+11
12/26/2017,23040117559,1.03551E+11
12/27/2017,23319447730,1.03551E+11
12/28/2017,22967974526,1.03551E+11
12/29/2017,33180418768,1.03551E+11
12/30/2017,33706676487,1.03551E+11
12/31/2017,36818550621,1.03551E+11
1/1/2018,50498923314,1.03551E+11
1/2/2018,57558554161,1.03571E+11
1/3/2018,91165900733,1.03571E+11
1/4/2018,76806369988,1.03571E+11
1/5/2018,66706334007,1.03571E+11
1/6/2018,71128854927,1.03571E+11
1/7/2018,70953054814,1.03571E+11
1/8/2018,64434440770,1.03571E+11
1/9/2018,59040234913,1.0359E+11
1/10/2018,57940508585,1.0359E+11
1/11/2018,56024990816,1.0359E+11
1/12/2018,69771963714,1.0359E+11
1/13/2018,68493029342,1.0359E+11
1/14/2018,64845990050,1.0359E+11
1/15/2018,61522385078,1.0359E+11
1/16/2018,45002774755,1.0361E+11
1/17/2018,49165578948,1.0361E+11
1/18/2018,51543999256,1.0361E+11
1/19/2018,51694495215,1.0361E+11
1/20/2018,55006564246,1.0361E+11
1/21/2018,47525734567,1.0361E+11
1/22/2018,49572759417,1.0361E+11
1/23/2018,50543527699,1.0363E+11
1/24/2018,58751760716,1.0363E+11
1/25/2018,62782955759,1.0363E+11
1/26/2018,65228816992,1.0363E+11
1/27/2018,62888357748,1.0363E+11
1/28/2018,63292444246,1.0363E+11
1/29/2018,59233246953,1.0363E+11
1/30/2018,49569631763,1.0365E+11
1/31/2018,54220335566,1.0365E+11
2/1/2018,46282619930,1.0365E+11
2/2/2018,42244289214,1.0365E+11
2/3/2018,45440135837,1.0365E+11
2/4/2018,39787605745,1.0365E+11
2/5/2018,32822167691,1.0365E+11
2/6/2018,37842246538,1.03669E+11
2/7/2018,34838598562,1.03669E+11
2/8/2018,36416548438,1.03669E+11
2/9/2018,40450053078,1.03669E+11
2/10/2018,40418243722,1.03669E+11
2/11/2018,37549657188,1.03669E+11
2/12/2018,40107032454,1.03669E+11
2/13/2018,41394614376,1.03689E+11
2/14/2018,46620369327,1.03689E+11
2/15/2018,46146821701,1.03689E+11
2/16/2018,46692028717,1.03689E+11
2/17/2018,49243393495,1.03689E+11
2/18/2018,45128096946,1.03689E+11
2/19/2018,46091142380,1.03689E+11
2/20/2018,40598619046,1.03709E+11
2/21/2018,39160747031,1.03709E+11
2/22/2018,36283043782,1.03709E+11
2/23/2018,38055325931,1.03709E+11
2/24/2018,35540295032,1.03709E+11
2/25/2018,36283251912,1.03709E+11
2/26/2018,36936182059,1.03709E+11
2/27/2018,37074462949,1.03729E+11
2/28/2018,34292982436,1.03729E+11
3/1/2018,34967709199,1.03729E+11
3/2/2018,33007453759,1.03729E+11
3/3/2018,35662061332,1.03729E+11
3/4/2018,37404598994,1.03729E+11
3/5/2018,36422598966,1.03729E+11
3/6/2018,34397818877,1.03748E+11
3/7/2018,33642381519,1.03748E+11
3/8/2018,31955557379,1.03748E+11
3/9/2018,31752264557,1.03748E+11
3/10/2018,29917182005,1.03748E+11
3/11/2018,31270259315,1.03748E+11
3/12/2018,29899761079,1.03748E+11
3/13/2018,29477544990,1.03768E+11
3/14/2018,25420854918,1.03768E+11
3/15/2018,24801261977,1.03768E+11
3/16/2018,24006710425,1.03768E+11
3/17/2018,21336393806,1.03768E+11
3/18/2018,22751405798,1.03768E+11
3/19/2018,25487676030,1.03768E+11
3/20/2018,27494631128,1.03788E+11
3/21/2018,25898489096,1.03788E+11
3/22/2018,24966915126,1.03788E+11
3/23/2018,24141769485,1.03788E+11
3/24/2018,24355304058,1.03788E+11
3/25/2018,24773530878,1.03788E+11
3/26/2018,23601158296,1.03788E+11
3/27/2018,22494794844,1.03808E+11
3/28/2018,22605373167,1.03808E+11
3/29/2018,19755435798,1.03808E+11
3/30/2018,19369369820,1.03808E+11
3/31/2018,21242202917,1.03808E+11
4/1/2018,21276716738,1.03808E+11
4/2/2018,23142509342,1.03808E+11
4/3/2018,24106471491,1.03828E+11
4/4/2018,20851977494,1.03828E+11
4/5/2018,20390873316,1.03828E+11
4/6/2018,19911908836,1.03828E+11
4/7/2018,20876328215,1.03828E+11
4/8/2018,21384198896,1.03828E+11
4/9/2018,20303411332,1.03828E+11
4/10/2018,20601221475,1.03847E+11
4/11/2018,22056179615,1.03847E+11
4/12/2018,25346203814,1.03847E+11
4/13/2018,25865954336,1.03847E+11
4/14/2018,26372054706,1.03847E+11
4/15/2018,30643646851,1.03847E+11
4/16/2018,29461959433,1.03847E+11
4/17/2018,31193638653,1.03867E+11
4/18/2018,36766359061,1.03867E+11
4/19/2018,37926534703,1.03867E+11
4/20/2018,40692635780,1.03867E+11
4/21/2018,38441341230,1.03867E+11
4/22/2018,38017236612,1.03867E+11
4/23/2018,38553820027,1.03867E+11
4/24/2018,41458601655,1.03887E+11
4/25/2018,35013565612,1.03887E+11
4/26/2018,40092791928,1.03887E+11
4/27/2018,40542165220,1.03887E+11
4/28/2018,44451605113,1.03887E+11
4/29/2018,47506147402,1.03887E+11
4/30/2018,43607620733,1.03887E+11
5/1/2018,45461222927,1.03907E+11
5/2/2018,45442685971,1.03907E+11
5/3/2018,45170949065,1.03907E+11
5/4/2018,44439347742,1.03907E+11
5/5/2018,44398132961,1.03907E+11
5/6/2018,42342938212,1.03907E+11
5/7/2018,40824586252,1.03907E+11
5/8/2018,39569356543,1.03927E+11
5/9/2018,38617144121,1.03927E+11
5/10/2018,36303331569,1.03927E+11
5/11/2018,32443833229,1.03927E+11
5/12/2018,37015143095,1.03927E+11
5/13/2018,38483070731,1.03927E+11
5/14/2018,37564216603,1.03927E+11
5/15/2018,35600202430,1.03947E+11
