date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-06-01,6596,235018,6213436006.8122931906228,0.0467232004787975,1.541377197692515080207798842,0.000625,0.020618466600869625,3184.46645183,105054.104285834648825876262,0,0,118.48256921,,0.0038562582756391907,32.9895465613914,,42.66367006008781,188345602,74376,34307,1589648.19266361,52441773.06810784900795374695,47.02140883,1551.214955979505713046062,9.23868,304.779864025795499352,1613163.47277057,53217531.4961005668687521711,,0.057975733764398706,
2019-06-02,9409,235226,6260240378.344946764791,0.0030778493764601,0.1023017088818423002563219296,0.0007202,0.0239380430050287591,249.27194315,8285.313100627303530255825,0,0,143.24662455,,0.003801086978807618,33.2380491599955,,42.515470061214614,188345602,83724,46828,1314834.48626095,43702533.29159888393311382572,29.08080316,966.58916504423248198578,8.1650125,271.38908686697775744375,1361795.8505865,45263437.42767197375101236075,,0.05797808432615506,
2019-06-03,11138,235292,5811598720.9423398833684,0.0137348225530915,0.4238021824471195484864356643,0.00076676,0.023659174347324279592,1298.27036701,40059.477493680251548580642,0,0,127.92479739,,0.003775176969608424,30.8560362399242,,36.271196227340724,188345602,96837,57705,1472315.03078015,45429805.94633742239330286463,26.83527656,828.030266043748420436752,6.704456,206.8729373049772422352,1548529.6336417,47781486.49424483982897795914,,0.059633843768382745,
2019-06-04,11969,235721,5475892592.7472142608954,0.0302620796525092,0.8798288680523653532008344168,0.0007961,0.02314552634516019797,3359.45398638,97671.562300102674149009526,0,0,122.02932438,,0.003800506209818815,29.0736419358877,,27.83041936114085,188345602,110932,68612,1543445.42145733,44873579.53103569480176122184,23.55819365,684.922486836403321253105,7.17,208.458012680314809,1616374.78299357,46993901.67495323748222134209,,0.06097856892731414,
2019-06-05,12420,236266,5834869150.8369384536348,0.00380828315206785,0.1179790430235411352165400086,0.00087953,0.027247477030207546222,473.34293782,14663.969194525950010863668,0,0,114.48612516,,0.003972483343474798,30.9795879960974,,40.96330825274782,188345602,126837,74315,1645139.10949745,50965731.80849756816187525163,23.65638566,732.865081223586669323284,8.2999,257.12748240880881026,1758024.30035159,54462868.51201964771036788487,,0.0612425960960856,
2019-06-06,11830,234251,5879034037.962940308345,0.0682995478191092,2.131907313694643602331619537,0.0002,0.0062428153092345,4063.61819659,126842.089442779710317051775,0,0,299.47215494,,0.0040137877323202864,31.2140765461725,,49.04514437439751,188345602,82554,31007,628925.25697566,19631321.11305946130569866135,20.78764815,648.867240569001159205875,0.5,15.60703827308625,644562.60619326,20119426.52851685835884829735,,0.06020715215909329,
2019-06-07,1252,232594,5948116936.0212819218982,0.00140563703997314,0.04439123289623220231498139997,0.0001,0.00315808645004691,37.76665599,1192.703645456019693324909,0,0,673.87414264,,0.003935825140268852,31.5808645004691,,54.09026888832994,188345602,43204,7238,279496.70433002,8826747.547774036806291212382,40.29212524,1272.460147640371015950084,0.0830206,2.62186231934764496346,291634.40249862,9210066.548984185355202102642,,0.05984725631956652,
2019-06-08,943,232714,6003783312.4775497868772,0.048233684976292,1.537517148714526454511182311,0.0001,0.00318764189273586,1007.4569781,32114.12068520633857104666,0,0,919.48745769,,0.004014760854397769,31.8764189273586,,70.88818247190798,188345602,32570,6427,204837.59775638,6529489.078156138929559697868,34.80171918,1109.354179973970816357948,0.0711542,2.26814108764105929612,223670.64919616,7129819.315531060254522062976,,0.05624798130775878,
2019-06-09,931,233787,5692029813.1668375546066,0.000259434687704845,0.007840427179104536422468671688,0.0001,0.00302211984390633,5.54100606,167.455843691312286023598,0,0,1430.74671019,,0.00395872912624196,30.2211984390633,,55.1090716071316,188345602,33485,5988,131641.47130891,3978363.027236827083925344003,24.66810236,745.499616536685706919388,0.0695574,2.10210798830530158342,147712.5969273,4464051.70368930516387019809,,0.057489200347127956,
2019-06-10,2401,235789,6039862321.6116944339688,0.121630330179686,3.900438558780232240219271378,0.0001,0.00320679764086644,5029.53578326,161287.034844115104904477944,0,0,675.78219103,,0.004011855707188781,32.0679764086644,,48.74965786280106,188345602,63544,12082,278707.55474223,8937587.290390373460680577612,23.44815158,751.934771694226876549752,1,32.0679764086644,283300.56736466,9084875.910811156509898360104,,0.055799237120684166,
